iso_code,vaccine_name
DJI,Pfizer/BioNTech
DJI,Sinopharm/Beijing
DJI,Sinovac
DJI,Sputnik Light
DJI,Sputnik V
DMA,Moderna
DMA,Oxford/AstraZeneca
DMA,Pfizer/BioNTech
DMA,Sinopharm/Beijing
DOM,Oxford/AstraZeneca
DOM,Pfizer/BioNTech
DOM,Sinopharm/Beijing
DOM,Sinovac
ECU,CanSino
ECU,Oxford/AstraZeneca
ECU,Pfizer/BioNTech
ECU,Sinovac
EGY,CanSino
EGY,Covaxin
EGY,Johnson&Johnson
EGY,Moderna
EGY,Oxford/AstraZeneca
EGY,Pfizer/BioNTech
EGY,Sinopharm/Beijing
EGY,Sinovac
EGY,Sputnik Light
EGY,Sputnik V
SLV,Oxford/AstraZeneca
SLV,Pfizer/BioNTech
SLV,Sinopharm/Beijing
SLV,Sinovac
OWID_ENG,Moderna
OWID_ENG,Oxford/AstraZeneca
OWID_ENG,Pfizer/BioNTech
GNQ,Sinopharm/Beijing
GNQ,Sinovac
EST,Johnson&Johnson
EST,Moderna
EST,Novavax
EST,Oxford/AstraZeneca
EST,Pfizer/BioNTech
SWZ,Johnson&Johnson
SWZ,Oxford/AstraZeneca
SWZ,Pfizer/BioNTech
ETH,Covaxin
ETH,Johnson&Johnson
ETH,Oxford/AstraZeneca
ETH,Sinopharm/Beijing
ETH,Sinovac
FRO,Moderna
FRO,Pfizer/BioNTech
FLK,Oxford/AstraZeneca
FJI,Moderna
FJI,Oxford/AstraZeneca
FJI,Pfizer/BioNTech
FIN,Moderna
FIN,Oxford/AstraZeneca
FIN,Pfizer/BioNTech
FRA,Johnson&Johnson
FRA,Moderna
FRA,Novavax
FRA,Oxford/AstraZeneca
FRA,Pfizer/BioNTech
FRA,Sanofi/GSK
PYF,Johnson&Johnson
PYF,Pfizer/BioNTech
GAB,Pfizer/BioNTech
GAB,Sinopharm/Beijing
GAB,Sputnik V
GMB,Johnson&Johnson
GMB,Oxford/AstraZeneca
GMB,Sinopharm/Beijing
GEO,Oxford/AstraZeneca
GEO,Pfizer/BioNTech
GEO,Sinopharm/Beijing
GEO,Sinovac
DEU,Johnson&Johnson
DEU,Moderna
DEU,Novavax
DEU,Oxford/AstraZeneca
DEU,Pfizer/BioNTech
DEU,Valneva
GHA,Oxford/AstraZeneca
GHA,Sputnik V
GIB,Oxford/AstraZeneca
GIB,Pfizer/BioNTech
GRC,Johnson&Johnson
GRC,Moderna
GRC,Novavax
GRC,Oxford/AstraZeneca
GRC,Pfizer/BioNTech
GRL,Moderna
GRD,Johnson&Johnson
GRD,Moderna
GRD,Oxford/AstraZeneca
GRD,Pfizer/BioNTech
GTM,Moderna
GTM,Oxford/AstraZeneca
